code,field,period,period_type,unit,pdf_value,pdf_page,pdf_url,pdf_sha256,encoded_value,multiplier
300866,FN8,2025-06-30,instant,CNY,2979713227.13,67,https://static.cninfo.com.cn/finalpage/2025-08-29/1224614835.PDF,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,2979713227.13,1
300866,FN11,2025-06-30,instant,CNY,1825583099.02,67,https://static.cninfo.com.cn/finalpage/2025-08-29/1224614835.PDF,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,1825583099.02,1
300866,FN17,2025-06-30,instant,CNY,5294658771.47,67,https://static.cninfo.com.cn/finalpage/2025-08-29/1224614835.PDF,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,5294658771.47,1
300866,FN21,2025-06-30,instant,CNY,14040449636.72,67,https://static.cninfo.com.cn/finalpage/2025-08-29/1224614835.PDF,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,14040449636.72,1
300866,FN25,2025-06-30,instant,CNY,584059235.18,67,https://static.cninfo.com.cn/finalpage/2025-08-29/1224614835.PDF,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,584059235.18,1
300866,FN40,2025-06-30,instant,CNY,18672207971.30,67,https://static.cninfo.com.cn/finalpage/2025-08-29/1224614835.PDF,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,18672207971.30,1
300866,FN41,2025-06-30,instant,CNY,668730859.26,68,https://static.cninfo.com.cn/finalpage/2025-08-29/1224614835.PDF,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,668730859.26,1
300866,FN44,2025-06-30,instant,CNY,2293993190.51,68,https://static.cninfo.com.cn/finalpage/2025-08-29/1224614835.PDF,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,2293993190.51,1
300866,FN52,2025-06-30,instant,CNY,198468179.73,68,https://static.cninfo.com.cn/finalpage/2025-08-29/1224614835.PDF,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,198468179.73,1
300866,FN54,2025-06-30,instant,CNY,6771706535.90,68,https://static.cninfo.com.cn/finalpage/2025-08-29/1224614835.PDF,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,6771706535.90,1
300866,FN55,2025-06-30,instant,CNY,852671125.12,68,https://static.cninfo.com.cn/finalpage/2025-08-29/1224614835.PDF,e1aff2dcb92aea9bcc8b3b69b66051b2e27c68026dbbff77d56ef27373dee674,852671125.12,1
